query3160.smt2, sat, 34, 8, unknown, 1572, 5
query3427.smt2, sat, 37, 8, unknown, 1148, 5
query3250.smt2, sat, 46, 8, unknown, 3922, 6
query3304.smt2, sat, 54, 8, unknown, 1338, 5
query3155.smt2, sat, 41, 8, unknown, 1978, 5
query3350.smt2, sat, 33, 8, unknown, 4076, 6
query6109.smt2, sat, 40, 8, unknown, 1663, 5
query3318.smt2, sat, 46, 7, unknown, 1511, 5
query5997.smt2, sat, 29, 7, unknown, 1476, 6
query8523.smt2, sat, 32, 7, unknown, 1679, 5
query3196.smt2, sat, 29, 7, unknown, 1618, 5
query3466.smt2, sat, 57, 8, unknown, 3656, 6
query8343.smt2, sat, 33, 6, unknown, 1383, 6
query4111.smt2, sat, 45, 8, unknown, 3840, 6
query5436.smt2, sat, 144, 11, unknown, 1143, 5
query8335.smt2, sat, 45, 8, unknown, 2202, 5
query3156.smt2, sat, 34, 8, unknown, 1116, 5
query6387.smt2, sat, 37, 8, unknown, 1081, 5
query3568.smt2, sat, 38, 8, unknown, 1560, 5
query3392.smt2, sat, 37, 8, unknown, 2551, 6
query3459.smt2, sat, 80, 9, unknown, 996, 5
query3463.smt2, sat, 31, 8, unknown, 2691, 6
query5216.smt2, sat, 39, 8, unknown, 4063, 6
query8486.smt2, sat, 40, 8, unknown, 4845, 6
query3591.smt2, sat, 53, 8, unknown, 3371, 6
query3151.smt2, sat, 34, 8, unknown, 1080, 5
query8149.smt2, sat, 44, 8, unknown, 1405, 5
query8589.smt2, sat, 34, 7, unknown, 3378, 6
query4107.smt2, sat, 28, 5, unknown, 1454, 5
query3470.smt2, sat, 35, 8, unknown, 2596, 6
query3236.smt2, sat, 31, 6, unknown, 3824, 6
query8966.smt2, sat, 36, 8, unknown, 1139, 5
query8288.smt2, sat, 38, 8, unknown, 1290, 5
query5491.smt2, sat, 35, 8, unknown, 2580, 5
query3532.smt2, sat, 47, 8, unknown, 3579, 6
query8824.smt2, sat, 32, 6, unknown, 1502, 5
query3331.smt2, sat, 29, 6, unknown, 2433, 6
query3179.smt2, sat, 40, 8, unknown, 4187, 6
query7481.smt2, sat, 50, 8, unknown, 1309, 5
query3519.smt2, sat, 63, 8, unknown, 1358, 5
query4092.smt2, sat, 59, 8, unknown, 955, 5
query5380.smt2, sat, 30, 8, unknown, 1227, 5
query5433.smt2, sat, 38, 8, unknown, 4445, 6
query4617.smt2, sat, 70, 7, unknown, 1391, 5
query3444.smt2, sat, 59, 8, unknown, 2385, 6
query3469.smt2, sat, 46, 8, unknown, 3324, 6
query6823.smt2, sat, 32, 8, unknown, 1197, 5
query3124.smt2, sat, 33, 8, unknown, 1653, 5
query5202.smt2, sat, 88, 9, unknown, 2816, 6
query3577.smt2, sat, 48, 8, unknown, 2291, 6
query3671.smt2, sat, 51, 8, unknown, 3238, 6
query3475.smt2, sat, 36, 8, unknown, 2140, 6
query3450.smt2, sat, 65, 8, unknown, 1515, 5
query3218.smt2, sat, 49, 8, unknown, 1632, 5
query3664.smt2, sat, 49, 8, unknown, 1116, 5
query3201.smt2, sat, 37, 7, unknown, 2776, 6
query3534.smt2, sat, 29, 6, unknown, 4458, 6
query5848.smt2, sat, 37, 7, unknown, 1528, 5
query3478.smt2, sat, 56, 8, unknown, 4134, 6
query3203.smt2, sat, 32, 8, unknown, 4580, 6
query9132.smt2, sat, 103, 11, unknown, 1811, 5
query3116.smt2, sat, 33, 8, unknown, 1095, 5
query8867.smt2, sat, 35, 7, unknown, 2200, 5
query3720.smt2, sat, 38, 8, unknown, 3963, 6
query3205.smt2, sat, 38, 8, unknown, 960, 5
query3224.smt2, sat, 33, 6, unknown, 1672, 5
query5599.smt2, sat, 29, 7, unknown, 1043, 5
query3434.smt2, sat, 55, 8, unknown, 4826, 6
query7985.smt2, sat, 60, 8, unknown, 1639, 5
query3401.smt2, sat, 53, 8, unknown, 1554, 5
