query3330.smt2, sat, 61, 8, TO, , 6, ,
query3160.smt2, sat, 50, 8, TO, , 6, ,
query3427.smt2, sat, 49, 8, TO, , 6, ,
query3250.smt2, sat, 59, 8, unsat, 4986, 6, , 
query3304.smt2, sat, 64, 8, TO, , 6, ,
query3155.smt2, sat, 50, 8, TO, , 6, ,
query3350.smt2, sat, 40, 8, TO, , 6, ,
query6109.smt2, sat, 60, 8, TO, , 6, ,
query3318.smt2, sat, 58, 7, TO, , 6, ,
query5997.smt2, sat, 39, 7, unsat, 1869, 6, , 
query8523.smt2, sat, 42, 7, TO, , 6, ,
query3196.smt2, sat, 50, 7, TO, , 6, ,
query3466.smt2, sat, 72, 8, unsat, 4906, 6, , 
query8343.smt2, sat, 49, 6, unsat, 1737, 6, , 
query4111.smt2, sat, 59, 8, TO, , 6, ,
query5436.smt2, sat, 172, 11, TO, , 6, ,
query8335.smt2, sat, 60, 8, TO, , 6, ,
query3156.smt2, sat, 47, 8, TO, , 6, ,
query6387.smt2, sat, 51, 8, TO, , 6, ,
query3568.smt2, sat, 53, 8, TO, , 6, ,
query3392.smt2, sat, 50, 8, unsat, 3091, 6, , 
query3459.smt2, sat, 111, 9, TO, , 6, ,
query3463.smt2, sat, 46, 8, unsat, 3252, 6, , 
query5216.smt2, sat, 52, 8, TO, , 6, ,
query8486.smt2, sat, 50, 8, TO, , 6, ,
query3591.smt2, sat, 69, 8, unsat, 4578, 6, , 
query3151.smt2, sat, 51, 8, TO, , 6, ,
query8149.smt2, sat, 54, 8, TO, , 6, ,
query8589.smt2, sat, 44, 7, unsat, 4464, 6, , 
query4107.smt2, sat, 33, 5, unsat, 1970, 5, , 
query3470.smt2, sat, 41, 8, unsat, 3080, 6, , 
query3236.smt2, sat, 39, 6, unsat, 4394, 6, , 
query8966.smt2, sat, 43, 8, TO, , 6, ,
query8288.smt2, sat, 48, 8, TO, , 6, ,
query5491.smt2, sat, 44, 8, TO, , 6, ,
query3532.smt2, sat, 59, 8, unsat, 4562, 6, , 
query8824.smt2, sat, 39, 6, TO, , 6, ,
query3331.smt2, sat, 30, 6, unsat, 2589, 6, , 
query3179.smt2, sat, 43, 8, unsat, 4605, 6, , 
query7481.smt2, sat, 64, 8, TO, , 6, ,
query3519.smt2, sat, 76, 8, TO, , 6, ,
query4092.smt2, sat, 66, 8, TO, , 6, ,
query5380.smt2, sat, 37, 8, TO, , 6, ,
query5433.smt2, sat, 44, 8, unsat, 4711, 6, , 
query4617.smt2, sat, 79, 7, TO, , 6, ,
query3444.smt2, sat, 67, 8, unsat, 2601, 6, , 
query3469.smt2, sat, 56, 8, unsat, 3475, 6, , 
query6823.smt2, sat, 38, 8, TO, , 6, ,
query3124.smt2, sat, 39, 8, TO, , 6, ,
query5202.smt2, sat, 107, 9, unsat, 3241, 6, , 
query3577.smt2, sat, 53, 8, unsat, 2473, 6, , 
query3671.smt2, sat, 57, 8, unsat, 3435, 6, , 
query3475.smt2, sat, 38, 8, unsat, 2295, 6, , 
query3450.smt2, sat, 81, 8, TO, , 6, ,
query3218.smt2, sat, 52, 8, TO, , 6, ,
query3664.smt2, sat, 54, 8, TO, , 6, ,
query3201.smt2, sat, 44, 7, unsat, 2933, 6, , 
query3534.smt2, sat, 35, 6, unsat, 4581, 6, , 
query5848.smt2, sat, 41, 7, TO, , 6, ,
query3478.smt2, sat, 63, 8, unsat, 4496, 6, , 
query3203.smt2, sat, 38, 8, unsat, 4942, 6, , 
query9132.smt2, sat, 120, 11, TO, , 6, ,
query3116.smt2, sat, 39, 8, TO, , 6, ,
query8867.smt2, sat, 41, 7, TO, , 6, ,
query3720.smt2, sat, 45, 8, unsat, 4096, 6, , 
query3205.smt2, sat, 46, 8, TO, , 6, ,
query3224.smt2, sat, 40, 6, TO, , 6, ,
query5599.smt2, sat, 44, 7, TO, , 6, ,
query3434.smt2, sat, 66, 8, TO, , 6, ,
query7985.smt2, sat, 83, 8, TO, , 6, ,
query3401.smt2, sat, 64, 8, TO, , 6, ,
query3523.smt2, sat, 39, 8, unsat, 4246, 6, , 
query3253.smt2, sat, 37, 8, unsat, 294, 6, , 
query8855.smt2, sat, 35, 6, TO, , 6, ,
query3547.smt2, sat, 49, 8, TO, , 6, ,
query7990.smt2, sat, 35, 8, TO, , 6, ,
query4299.smt2, sat, 178, 13, TO, , 6, ,
query3543.smt2, sat, 44, 7, TO, , 6, ,
query3546.smt2, sat, 59, 8, unsat, 2289, 6, , 
query8856.smt2, sat, 50, 8, unsat, 1438, 6, , 
query3435.smt2, sat, 43, 8, TO, , 6, ,
query8000.smt2, sat, 53, 8, TO, , 6, ,
query6768.smt2, sat, 54, 8, TO, , 6, ,
query3165.smt2, sat, 55, 8, TO, , 6, ,
query6979.smt2, sat, 41, 8, TO, , 6, ,
query8962.smt2, sat, 125, 12, TO, , 6, ,
query3969.smt2, sat, 53, 8, unsat, 4171, 6, , 
query3474.smt2, sat, 41, 8, TO, , 6, ,
query3456.smt2, sat, 97, 8, unsat, 4346, 6, , 
query3428.smt2, sat, 41, 8, unsat, 3416, 6, , 
query4583.smt2, sat, 32, 5, unsat, 1313, 5, , 
query9070.smt2, sat, 53, 8, TO, , 6, ,
query8957.smt2, sat, 68, 8, TO, , 6, ,
query3255.smt2, sat, 36, 8, unsat, 287, 6, , 
query6842.smt2, sat, 58, 8, TO, , 6, ,
query4293.smt2, sat, 64, 8, TO, , 6, ,
query3241.smt2, sat, 40, 6, TO, , 6, ,
query3168.smt2, sat, 53, 8, TO, , 6, ,
query5013.smt2, sat, 39, 8, TO, , 6, ,
query7493.smt2, sat, 42, 8, TO, , 6, ,
query3563.smt2, sat, 45, 8, unsat, 3383, 6, , 
query3194.smt2, sat, 40, 8, TO, , 6, ,
query3208.smt2, sat, 91, 9, TO, , 6, ,
query6914.smt2, sat, 35, 6, TO, , 6, ,
query3479.smt2, sat, 79, 7, TO, , 6, ,
query3471.smt2, sat, 40, 8, TO, , 6, ,
query4936.smt2, sat, 33, 6, TO, , 6, ,
query3369.smt2, sat, 120, 9, TO, , 6, ,
query7989.smt2, sat, 43, 8, unsat, 3057, 6, , 
query3146.smt2, sat, 41, 8, unsat, 4320, 6, , 
query3438.smt2, sat, 49, 7, TO, , 6, ,
query8333.smt2, sat, 59, 8, TO, , 6, ,
query5690.smt2, sat, 49, 8, TO, , 6, ,
query3308.smt2, sat, 39, 7, unsat, 3503, 6, , 
query7665.smt2, sat, 37, 7, unsat, 3136, 6, , 
query8952.smt2, sat, 37, 7, TO, , 6, ,
query4446.smt2, sat, 48, 8, TO, , 6, ,
query4858.smt2, sat, 76, 8, TO, , 6, ,
query3455.smt2, sat, 45, 6, unsat, 2824, 6, , 
query4673.smt2, sat, 43, 8, unsat, 1684, 6, , 
query3468.smt2, sat, 71, 9, unsat, 3180, 6, , 
query6462.smt2, sat, 54, 8, TO, , 6, ,
query7313.smt2, sat, 159, 11, TO, , 6, ,
query3793.smt2, sat, 58, 8, TO, , 6, ,
query5098.smt2, sat, 56, 8, TO, , 6, ,
query3569.smt2, sat, 36, 8, unsat, 299, 6, , 
query3324.smt2, sat, 56, 8, TO, , 6, ,
query3864.smt2, sat, 59, 8, TO, , 6, ,
query3185.smt2, sat, 70, 8, TO, , 6, ,
query3325.smt2, sat, 59, 8, TO, , 6, ,
query8865.smt2, sat, 86, 7, TO, , 6, ,
query3186.smt2, sat, 32, 6, TO, , 6, ,
query7145.smt2, sat, 44, 8, TO, , 6, ,
query5753.smt2, sat, 36, 8, TO, , 6, ,
query3246.smt2, sat, 33, 6, TO, , 6, ,
query7698.smt2, sat, 37, 6, TO, , 6, ,
query6932.smt2, sat, 55, 8, TO, , 6, ,
query3191.smt2, sat, 36, 6, TO, , 6, ,
query6008.smt2, sat, 71, 8, TO, , 6, ,
query5763.smt2, sat, 39, 7, TO, , 6, ,
query5222.smt2, sat, 41, 8, TO, , 6, ,
